id	name	type	faction	rarity	cost	stats	abilities
72	Vinelash Serpent	Champion	Sunforged	Legendary	5	4/4	obj(Overrun t=static e=trample v=0) | obj(Vine Lash t=attacks e=damage_random_enemy v=2) | obj(Keen Eye t=static e=vigilance v=0)
73	Mosshide Druid	Champion	Sunforged	Uncommon	3	1/3	Keen Eye | obj(Nature's Gift t=enter_battlefield e=ramp_search_land v=1)
74	Thornmantle Bison	Champion	Sunforged	Uncommon	4	4/3	destroy_enchantment
75	Overgrowth	Spell	Sunforged	Common	3	null/null	obj(Overgrowth t=on_cast e=create_token v=2)
76	Wild Rage	Spell	Sunforged	Common	4	null/null	obj(Wild Rage t=on_cast e=damage_random_enemy v=4)
77	Nature's Rebuke	Spell	Sunforged	Uncommon	3	null/null	obj(Nature's Rebuke t=on_cast e=destroy_weakest_enemy v=3) | obj(Rampant Growth t=on_cast e=ramp_search_land v=1)
78	Season of Growth	Spell	Sunforged	Rare	5	null/null	obj(Season of Growth t=on_cast e=draw_cards v=3)
79	Feral Instinct	Spell	Sunforged	Common	3	null/null	obj(Feral Instinct t=on_cast e=create_token v=1)
80	Mycelium Burst	Spell	Sunforged	Common	5	null/null	obj(Mycelium Burst t=on_cast e=damage_all_enemies v=3)
101	Plague Rat	Champion	Lantern	Common	1	1/1	Deathshroud
104	Mire Horror	Champion	Lantern	Rare	3	3/2	destroy_enchantment | Ominous
105	Graveshambler	Champion	Lantern	Mythic	3	2/3	Siphon | Recall 1
106	Blightcrawler	Champion	Lantern	Uncommon	4	3/3	Deathshroud
107	Dread Knight	Champion	Lantern	Mythic	4	4/3	Deathshroud | Recall 1
108	Carrion Thrull	Champion	Lantern	Uncommon	3	2/2	Siphon
109	Vilespawn Spider	Champion	Lantern	Uncommon	4	3/4	Deathshroud | Guard
111	Noxious Wyrm	Champion	Lantern	Legendary	5	4/4	obj(Deathshroud t=static e=deathtouch v=0) | obj(Siphon t=static e=lifelink v=0) | obj(Plague Breath t=end_of_turn e=drain_all_opponents v=1)
112	Blightlord	Champion	Lantern	Legendary	5	3/5	obj(Deathshroud t=static e=deathtouch v=0) | obj(Siphon t=static e=lifelink v=0) | obj(Blight Aura t=static e=pump_all_champions v=1)
113	Dusk Revenant	Champion	Lantern	Uncommon	4	4/2	Swiftstrike
114	Mire Serpent	Champion	Lantern	Uncommon	5	4/3	Deathshroud | Recall 1
115	Gnarlroot Devourer	Champion	Lantern	Legendary	5	5/4	obj(Deathshroud t=static e=deathtouch v=0) | obj(Devour t=attacks e=destroy_weakest_enemy v=5) | obj(Siphon t=static e=lifelink v=0)
116	Wretched Ghoul	Champion	Lantern	Uncommon	3	3/1	Swiftstrike | Ominous
117	Bloodghast	Champion	Lantern	Common	1	2/1	Deathshroud | Recall 1
119	Soul Drain	Spell	Lantern	Common	3	null/null	obj(Soul Drain t=on_cast e=drain_life v=3)
143	Brine Elemental	Champion	Gilded	Rare	3	3/3	Intimidate | Flying
144	Abyssal Leviathan	Champion	Gilded	Legendary	4	5/4	obj(Flying t=static e=flying v=0) | obj(Intimidate t=static e=menace v=0) | obj(Abyssal Roar t=enter_battlefield e=bounce_enemies v=2)
145	Fathom Reader	Champion	Gilded	Uncommon	2	2/2	Flying | obj(Fathom Chart t=enter_battlefield e=ramp_search_land v=1)
147	Maelstrom Maw	Champion	Gilded	Legendary	4	4/5	obj(Flying t=static e=flying v=0) | obj(Intimidate t=static e=menace v=0) | obj(Maelstrom Pull t=attacks e=tap_enemy_champion v=1)
149	Deep Diver	Champion	Gilded	Uncommon	1	2/1	Swiftstrike | Flying | obj(Deep Scan t=enter_battlefield e=ramp_search_land v=1)
150	Riptide Shark	Champion	Gilded	Uncommon	3	4/2	Flying
151	Marbleback Turtle	Champion	Gilded	Mythic	4	2/6	Keen Eye | Bastion | Flying
152	Whirlpool Djinn	Champion	Gilded	Mythic	4	4/3	bounce_enchantment | Flying
153	Saltwater Drake	Champion	Gilded	Uncommon	3	3/3	bounce_enchantment | Flying
156	Vortex Eel	Champion	Gilded	Uncommon	3	4/3	Flying
157	Spire Kraken	Champion	Gilded	Legendary	4	5/5	obj(Flying t=static e=flying v=0) | obj(Intimidate t=static e=menace v=0) | obj(Kraken Wake t=attacks e=damage_random_enemy v=3)
158	Tidecall	Spell	Gilded	Common	3	null/null	obj(Tidecall t=on_cast e=bounce_two_enemies v=0)
159	Abyssal Surge	Spell	Gilded	Common	4	null/null	obj(Abyssal Surge t=on_cast e=damage_all_enemies v=2)
160	Riptide Crush	Spell	Gilded	Rare	5	null/null	obj(Riptide Crush t=on_cast e=bounce_all_enemies v=2)
161	Ironclad Automaton	Champion	Colorless	Common	1	1/1	Swiftstrike
162	Copper Golem	Champion	Colorless	Common	2	2/1	Swiftstrike
163	Rustwork Sentinel	Champion	Colorless	Rare	3	2/3	Keen Eye | Guard
164	Clockwork Spider	Champion	Colorless	Common	2	1/2	Deathshroud
165	Steelshaper Mage	Champion	Colorless	Mythic	3	2/2	obj(Disenchant t=on_cast e=destroy_relic v=0)
166	Bronze Colossus	Champion	Colorless	Legendary	5	4/4	obj(Keen Eye t=static e=vigilance v=0) | obj(Overrun t=static e=trample v=0) | obj(Fortify t=enter_battlefield e=create_token v=2)
167	Geargrind Construct	Champion	Colorless	Mythic	4	3/3	Quickdraw
168	Tin Legionnaire	Champion	Colorless	Uncommon	3	3/2	Swiftstrike
169	Whetstone Gargoyle	Champion	Colorless	Common	2	2/2	Deathshroud
171	Grindstone Guardian	Champion	Colorless	Mythic	4	3/4	Keen Eye | Bastion
172	Ironfang Wolf	Champion	Colorless	Uncommon	3	3/2	Swiftstrike
174	Pistonhammer Dwarf	Champion	Colorless	Uncommon	4	4/3	Quickdraw
179	Tanglewire Effigy	Champion	Colorless	Common	1	1/1	Flying
181	Boulderback Ox	Champion	Colorless	Legendary	4	4/4	obj(Overrun t=static e=trample v=0) | obj(Keen Eye t=static e=vigilance v=0) | obj(Bull Rush t=attacks e=damage_random_enemy v=2)
185	Bolt	Spell	Colorless	Common	1	null/null	obj(Bolt t=on_cast e=damage_any_target v=2)
186	Reinforce	Spell	Colorless	Common	2	null/null	obj(Reinforce t=on_cast e=create_token v=1)
187	Scrap Salvage	Spell	Colorless	Common	1	null/null	obj(Scrap Salvage t=on_cast e=return_from_graveyard v=1)
189	Disassemble	Spell	Colorless	Common	2	null/null	obj(Disassemble t=on_cast e=destroy_relic v=0)
190	Chain Lightning	Spell	Colorless	Common	3	null/null	obj(Chain Lightning t=on_cast e=damage_two_targets v=2)
191	Fortify	Spell	Colorless	Common	2	null/null	obj(Fortify t=on_cast e=create_token v=1)
192	Mass Recall	Spell	Colorless	Common	4	null/null	obj(Mass Recall t=on_cast e=bounce_all_enemies v=2)
193	Rust	Spell	Colorless	Common	1	null/null	obj(Rust t=on_cast e=damage_random_enemy v=1)
194	Forge Shield	Spell	Colorless	Common	3	null/null	obj(Forge Shield t=on_cast e=create_token v=2)
196	Neutralize	Spell	Colorless	Common	2	null/null	obj(Neutralize t=on_cast e=bounce_champion v=0)
198	Scrapheap Purge	Spell	Colorless	Common	3	null/null	obj(Scrapheap Purge t=on_cast e=destroy_weakest_enemy v=3)
199	Pandemonium	Spell	Colorless	Rare	7	null/null	obj(Pandemonium t=on_cast e=damage_all_enemies v=5)
200	Winding Constrictor	Champion	Colorless	Legendary	7	5/7	obj(Keen Eye t=static e=vigilance v=0) | obj(Overrun t=static e=trample v=0) | obj(Constrict t=static e=pump_all_champions v=1)
201	Eruption	Spell	Crimson	Common	2	null/null	obj(Eruption t=on_cast e=damage_random_enemy v=3)
203	Magma Volley	Spell	Crimson	Common	4	null/null	obj(Magma Volley t=on_cast e=damage_two_targets v=2)
204	Ashfall	Spell	Crimson	Common	1	null/null	obj(Ashfall t=on_cast e=damage_any_target v=2)
205	Caldera Blast	Spell	Crimson	Rare	5	null/null	obj(Caldera Blast t=on_cast e=damage_all_enemies v=4)
207	Verdant Bounty	Spell	Sunforged	Common	2	null/null	obj(Verdant Bounty t=on_cast e=create_token v=2)
208	Rootbind	Spell	Sunforged	Common	1	null/null	obj(Rootbind t=on_cast e=ramp_search_land v=1)
209	Timber Snap	Spell	Sunforged	Common	3	null/null	obj(Timber Snap t=on_cast e=damage_random_enemy v=3)
210	Wildfire Bloom	Spell	Sunforged	Common	4	null/null	obj(Wildfire Bloom t=on_cast e=damage_all_enemies v=2)
211	Canopy Crash	Spell	Sunforged	Uncommon	3	null/null	obj(Canopy Crash t=on_cast e=damage_random_enemy v=3) | obj(Wild Growth t=on_cast e=ramp_search_land v=1)
212	Nature's Claim	Spell	Sunforged	Common	2	null/null	obj(Nature's Claim t=on_cast e=destroy_relic v=0)
213	Dark Ritual	Spell	Lantern	Common	1	null/null	obj(Dark Ritual t=on_cast e=ramp_search_land v=2)
214	Grave Pact	Spell	Lantern	Rare	3	null/null	obj(Grave Pact t=on_cast e=destroy_all_enemies v=0)
215	Entomb	Spell	Lantern	Common	2	null/null	obj(Entomb t=on_cast e=return_from_graveyard v=1)
217	Necrotic Touch	Spell	Lantern	Common	3	null/null	obj(Necrotic Touch t=on_cast e=destroy_weakest_enemy v=3)
218	Siphon Life	Spell	Lantern	Common	2	null/null	obj(Siphon Life t=on_cast e=drain_life v=2)
219	Tidal Lock	Spell	Gilded	Common	2	null/null	obj(Tidal Lock t=on_cast e=tap_enemy_champion v=1)
220	Flood Surge	Spell	Gilded	Common	3	null/null	obj(Flood Surge t=on_cast e=bounce_champion v=0)
221	Whirlpool	Spell	Gilded	Common	4	null/null	obj(Whirlpool t=on_cast e=bounce_two_enemies v=0)
222	Brine Wave	Spell	Gilded	Uncommon	1	null/null	obj(Brine Wave t=on_cast e=draw_cards v=1) | obj(Tidal Pool t=on_cast e=ramp_search_land v=1)
223	Depth Charge	Spell	Gilded	Common	5	null/null	obj(Depth Charge t=on_cast e=damage_all_enemies v=4)
224	Undertow Pull	Spell	Gilded	Uncommon	3	null/null	obj(Undertow Pull t=on_cast e=bounce_champion v=0) | obj(Depths Beckon t=on_cast e=ramp_search_land v=1)
225	Runic Infusion	Spell	Colorless	Common	1	null/null	obj(Runic Infusion t=on_cast e=ramp_search_land v=1)
228	Pulse Drain	Spell	Colorless	Common	4	null/null	obj(Pulse Drain t=on_cast e=drain_life v=4)
229	World Shatter	Spell	Colorless	Common	6	null/null	obj(World Shatter t=on_cast e=destroy_all_enemies v=0)
230	Null Surge	Spell	Colorless	Common	5	null/null	obj(Null Surge t=on_cast e=damage_all_enemies v=3)
231	Magma Forge	Relic	Crimson	Common	2	null/null	obj(Magma Forge t=end_of_turn e=damage_random_enemy v=2)
232	Lava Lake	Relic	Crimson	Uncommon	3	null/null	obj(Lava Lake t=end_of_turn e=damage_all_enemies v=2)
233	Ember Heart	Relic	Crimson	Uncommon	1	null/null	obj(Ember Heart t=end_of_turn e=damage_random_enemy v=2)
234	Ashcloud Mantle	Relic	Crimson	Uncommon	4	null/null	obj(Ashcloud Mantle t=static e=pump_all_champions v=2)
236	Molten Shield	Relic	Crimson	Uncommon	2	null/null	obj(Molten Shield t=enter_battlefield e=damage_random_enemy v=2)
238	Pyroclasm Veil	Relic	Crimson	Uncommon	3	null/null	obj(Pyroclasm Veil t=end_of_turn e=damage_all_enemies v=2)
239	Cinderborn Vitality	Relic	Crimson	Uncommon	4	null/null	obj(Cinderborn Vitality t=static e=pump_all_champions v=1)
240	Magma Chamber	Relic	Crimson	Uncommon	2	null/null	obj(Magma Chamber t=end_of_turn e=damage_random_enemy v=2)
241	Heartwood Resonance	Relic	Sunforged	Uncommon	2	null/null	obj(Heartwood Resonance t=static e=pump_all_champions v=1)
242	Canopy Accord	Relic	Sunforged	Uncommon	3	null/null	obj(Canopy Accord t=end_of_turn e=create_token v=1)
243	Spore Bloom	Relic	Sunforged	Uncommon	1	null/null	obj(Spore Bloom t=enter_battlefield e=create_token v=1)
245	Wild Growth	Relic	Sunforged	Uncommon	2	null/null	obj(Wild Growth t=enter_battlefield e=ramp_search_land v=1)
246	Elder Bond	Relic	Sunforged	Uncommon	3	null/null	obj(Elder Bond t=static e=pump_all_champions v=1)
247	Thornwall	Relic	Sunforged	Uncommon	2	null/null	obj(Thornwall t=end_of_turn e=create_token v=1)
249	Mycelium Web	Relic	Sunforged	Uncommon	3	null/null	obj(Mycelium Web t=static e=pump_all_champions v=1)
250	Verdant Crown	Relic	Sunforged	Uncommon	5	null/null	obj(Verdant Crown t=static e=pump_all_champions v=2)
251	Crypt Gate	Relic	Lantern	Uncommon	2	null/null	obj(Crypt Gate t=end_of_turn e=damage_random_enemy v=1)
252	Blight Aura	Relic	Lantern	Uncommon	3	null/null	obj(Blight Aura t=end_of_turn e=drain_all_opponents v=1)
253	Graveyard Pact	Relic	Lantern	Uncommon	4	null/null	obj(Graveyard Pact t=enter_battlefield e=return_from_graveyard v=1)
254	Rot Essence	Relic	Lantern	Uncommon	1	null/null	obj(Rot Essence t=end_of_turn e=drain_all_opponents v=1)
255	Soul Harvest	Relic	Lantern	Uncommon	3	null/null	obj(Soul Harvest t=end_of_turn e=draw_cards v=1)
256	Withering Presence	Relic	Lantern	Uncommon	2	null/null	obj(Withering Presence t=end_of_turn e=damage_random_enemy v=1)
257	Dread Veil	Relic	Lantern	Uncommon	3	null/null	obj(Dread Veil t=end_of_turn e=drain_all_opponents v=2)
258	Corpse Garden	Relic	Lantern	Uncommon	4	null/null	obj(Corpse Garden t=enter_battlefield e=return_from_graveyard v=2)
259	Pestilence Cloud	Relic	Lantern	Uncommon	5	null/null	obj(Pestilence Cloud t=end_of_turn e=drain_all_opponents v=2)
260	Undying Shadow	Relic	Lantern	Uncommon	2	null/null	obj(Undying Shadow t=static e=pump_all_champions v=1)
261	Tidal Bind	Relic	Gilded	Uncommon	2	null/null	obj(Tidal Bind t=end_of_turn e=tap_enemy_champion v=1)
262	Deep Current	Relic	Gilded	Uncommon	3	null/null	obj(Deep Current t=end_of_turn e=draw_cards v=1)
263	Coral Throne	Relic	Gilded	Uncommon	4	null/null	obj(Coral Throne t=static e=pump_all_champions v=2)
264	Riptide Ward	Relic	Gilded	Uncommon	2	null/null	obj(Riptide Ward t=enter_battlefield e=bounce_champion v=0)
265	Abyssal Gaze	Relic	Gilded	Uncommon	3	null/null	obj(Abyssal Gaze t=end_of_turn e=damage_random_enemy v=2)
267	Brine Mist	Relic	Gilded	Uncommon	2	null/null	obj(Brine Mist t=end_of_turn e=tap_enemy_champion v=1)
268	Leviathan Wake	Relic	Gilded	Uncommon	5	null/null	obj(Leviathan Wake t=enter_battlefield e=bounce_enemies v=2)
269	Undertow Snare	Relic	Gilded	Uncommon	3	null/null	obj(Undertow Snare t=end_of_turn e=tap_enemy_champion v=1)
270	Fathom Ward	Relic	Gilded	Uncommon	2	null/null	obj(Fathom Ward t=end_of_turn e=draw_cards v=1)
273	Runic Barrier	Relic	Colorless	Uncommon	2	null/null	obj(Runic Barrier t=enter_battlefield e=create_token v=1)
275	Null Field	Relic	Colorless	Uncommon	3	null/null	obj(Null Field t=end_of_turn e=damage_random_enemy v=2)
278	Soulstone	Relic	Colorless	Uncommon	4	null/null	obj(Soulstone t=enter_battlefield e=return_from_graveyard v=1)
279	Void Pact	Relic	Colorless	Uncommon	2	null/null	obj(Void Pact t=end_of_turn e=drain_all_opponents v=1)
280	Nexus Anchor	Relic	Colorless	Uncommon	6	null/null	obj(Nexus Anchor t=static e=extra_land_per_turn v=1)
281	Lava Dart	Instant	Crimson	Uncommon	1	null/null	obj(Lava Dart t=on_cast e=damage_any_target v=2)
282	Flame Burst	Instant	Crimson	Uncommon	3	null/null	obj(Flame Burst t=on_cast e=damage_random_enemy v=4)
283	Magma Spray	Instant	Crimson	Uncommon	2	null/null	obj(Magma Spray t=on_cast e=damage_random_enemy v=3)
284	Volcanic Hammer	Instant	Crimson	Uncommon	3	null/null	obj(Volcanic Hammer t=on_cast e=damage_random_enemy v=4)
285	Ember Gale	Instant	Crimson	Uncommon	4	null/null	obj(Ember Gale t=on_cast e=damage_all_enemies v=2)
286	Inferno Trap	Instant	Crimson	Uncommon	2	null/null	obj(Inferno Trap t=on_cast e=damage_random_enemy v=3)
287	Ash Cloud	Instant	Crimson	Uncommon	2	null/null	obj(Ash Cloud t=on_cast e=damage_all_enemies v=1)
288	Magma Quake	Instant	Crimson	Uncommon	4	null/null	obj(Magma Quake t=on_cast e=damage_all_enemies v=3)
289	Firebrand	Instant	Crimson	Uncommon	3	null/null	obj(Firebrand t=on_cast e=damage_two_targets v=2)
290	Cinder Storm	Instant	Crimson	Uncommon	4	null/null	obj(Cinder Storm t=on_cast e=damage_all_enemies v=3)
291	Giant Growth	Instant	Sunforged	Uncommon	1	null/null	obj(Giant Growth t=on_cast e=create_token v=1)
292	Vine Snare	Instant	Sunforged	Uncommon	3	null/null	obj(Vine Snare t=on_cast e=bounce_champion v=0)
293	Nature's Bounty	Instant	Sunforged	Uncommon	2	null/null	obj(Nature's Bounty t=on_cast e=draw_cards v=1) | obj(Forage t=on_cast e=ramp_search_land v=1)
294	Bramble Bash	Instant	Sunforged	Uncommon	3	null/null	obj(Bramble Bash t=on_cast e=damage_random_enemy v=3)
295	Root Shield	Instant	Sunforged	Uncommon	3	null/null	obj(Root Shield t=on_cast e=create_token v=2)
296	Wild Charge	Instant	Sunforged	Uncommon	4	null/null	obj(Wild Charge t=on_cast e=damage_random_enemy v=4)
297	Overgrow	Instant	Sunforged	Uncommon	2	null/null	obj(Overgrow t=on_cast e=create_token v=1)
298	Timber Salvo	Instant	Sunforged	Uncommon	4	null/null	obj(Timber Salvo t=on_cast e=damage_all_enemies v=2)
299	Feral Charge	Instant	Sunforged	Uncommon	3	null/null	obj(Feral Charge t=on_cast e=create_token v=1)
300	Nature's Resolve	Instant	Sunforged	Uncommon	2	null/null	obj(Nature's Resolve t=on_cast e=draw_cards v=2) | obj(Bountiful Harvest t=on_cast e=ramp_search_land v=1)
301	Fatal Push	Instant	Lantern	Uncommon	1	null/null	obj(Fatal Push t=on_cast e=destroy_weakest_enemy v=1)
302	Doom Blade	Instant	Lantern	Uncommon	3	null/null	obj(Doom Blade t=on_cast e=destroy_weakest_enemy v=3)
303	Dark Bargain	Instant	Lantern	Uncommon	3	null/null	obj(Dark Bargain t=on_cast e=draw_cards v=2)
304	Soul Reap	Instant	Lantern	Uncommon	3	null/null	obj(Soul Reap t=on_cast e=destroy_weakest_enemy v=3)
305	Withering Gaze	Instant	Lantern	Uncommon	2	null/null	obj(Withering Gaze t=on_cast e=damage_random_enemy v=2)
306	Grasp of Darkness	Instant	Lantern	Uncommon	4	null/null	obj(Grasp of Darkness t=on_cast e=destroy_weakest_enemy v=4)
307	Drain Life	Instant	Lantern	Uncommon	3	null/null	obj(Drain Life t=on_cast e=drain_life v=3)
308	Ghoul Call	Instant	Lantern	Uncommon	3	null/null	obj(Ghoul Call t=on_cast e=create_token v=1)
309	Pestilence	Instant	Lantern	Uncommon	4	null/null	obj(Pestilence t=on_cast e=drain_all_opponents v=3)
310	Dead Weight	Instant	Lantern	Uncommon	2	null/null	obj(Dead Weight t=on_cast e=damage_random_enemy v=2)
311	Boomerang	Instant	Gilded	Uncommon	3	null/null	obj(Boomerang t=on_cast e=bounce_champion v=0)
312	Into the Roil	Instant	Gilded	Uncommon	3	null/null	obj(Into the Roil t=on_cast e=bounce_champion v=0)
313	Counterspell	Instant	Gilded	Uncommon	4	null/null	obj(Counterspell t=on_cast e=bounce_all_enemies v=1)
314	Aether Snag	Instant	Gilded	Uncommon	2	null/null	obj(Aether Snag t=on_cast e=bounce_champion v=0) | obj(Abyssal Path t=on_cast e=ramp_search_land v=1)
315	Flood Recede	Instant	Gilded	Uncommon	2	null/null	obj(Flood Recede t=on_cast e=bounce_champion v=0)
316	Distant Melody	Instant	Gilded	Uncommon	3	null/null	obj(Distant Melody t=on_cast e=draw_cards v=2) | obj(Mariner's Guide t=on_cast e=ramp_search_land v=1)
317	Deep Sea Serpent	Instant	Gilded	Uncommon	2	null/null	obj(Deep Sea Serpent t=on_cast e=damage_random_enemy v=3)
318	Tidal Surge	Instant	Gilded	Uncommon	4	null/null	obj(Tidal Surge t=on_cast e=bounce_two_enemies v=0)
319	Rift Bolt	Instant	Gilded	Uncommon	2	null/null	obj(Rift Bolt t=on_cast e=damage_random_enemy v=2)
320	Vodalian Tactics	Instant	Gilded	Uncommon	3	null/null	obj(Vodalian Tactics t=on_cast e=damage_two_targets v=2)
321	Mana Leak	Instant	Colorless	Uncommon	2	null/null	obj(Mana Leak t=on_cast e=damage_random_enemy v=2)
322	Repulse	Instant	Colorless	Uncommon	2	null/null	obj(Repulse t=on_cast e=bounce_champion v=0)
323	Disenchant	Instant	Colorless	Uncommon	1	null/null	obj(Disenchant t=on_cast e=destroy_relic v=0)
324	Naturalize	Instant	Colorless	Uncommon	2	null/null	obj(Naturalize t=on_cast e=destroy_relic v=0)
325	Lightning Bolt	Instant	Colorless	Uncommon	1	null/null	obj(Lightning Bolt t=on_cast e=damage_any_target v=3)
326	Fog	Instant	Colorless	Uncommon	1	null/null	obj(Fog t=on_cast e=damage_random_enemy v=1)
328	Chaos Warp	Instant	Colorless	Uncommon	4	null/null	obj(Chaos Warp t=on_cast e=destroy_weakest_enemy v=4)
329	Rush of Adrenaline	Instant	Colorless	Uncommon	2	null/null	obj(Rush of Adrenaline t=on_cast e=damage_random_enemy v=3)
330	Elixir of Immortality	Instant	Colorless	Uncommon	3	null/null	obj(Elixir of Immortality t=on_cast e=drain_life v=3)
331	Mana Surge	Spell	Colorless	Uncommon	2	null/null	obj(Mana Surge t=on_cast e=ramp_search_land v=1)
333	Soul Resonance	Spell	Colorless	Uncommon	3	null/null	obj(Soul Resonance t=on_cast e=return_from_graveyard v=1)
334	Rusted Chain	Relic	Colorless	Uncommon	2	null/null	obj(Rusted Chain t=end_of_turn e=damage_random_enemy v=1)
335	Ore Vein	Relic	Colorless	Uncommon	3	null/null	obj(Ore Vein t=enter_battlefield e=ramp_search_land v=1)
336	Grave Iron	Relic	Colorless	Uncommon	2	null/null	obj(Grave Iron t=static e=pump_all_champions v=1)
337	Wild Sigil	Relic	Colorless	Uncommon	3	null/null	obj(Wild Sigil t=end_of_turn e=create_token v=1)
338	Mana Burn	Instant	Colorless	Uncommon	2	null/null	obj(Mana Burn t=on_cast e=damage_random_enemy v=3)
339	Echoing Rebuke	Instant	Colorless	Uncommon	3	null/null	obj(Echoing Rebuke t=on_cast e=damage_two_targets v=2)
340	Corrosive Touch	Instant	Colorless	Uncommon	3	null/null	obj(Corrosive Touch t=on_cast e=destroy_relic v=0)
341	Inferno Sovereign	Champion	Crimson	Mythic	7	6/5	obj(Volcanic Wrath t=enter_battlefield e=damage_all_enemies v=2) | obj(Flame Touch t=tap e=damage_any_target v=1) | obj(Swiftstrike t=static e=haste v=0) | obj(Quickdraw t=static e=first_strike v=0)
342	Emberheart Titan	Champion	Crimson	Mythic	6	5/4	obj(Sacrificial Flame t=once_per_turn e=sacrifice_then_damage v=3 OT) | obj(Swiftstrike t=static e=haste v=0)
343	Worldtree Ancient	Champion	Sunforged	Mythic	7	5/8	obj(Worldsprout t=enter_battlefield e=create_token v=2) | obj(Keen Eye t=static e=vigilance v=0) | obj(Overrun t=static e=trample v=0)
344	Verdant Sovereign	Champion	Sunforged	Mythic	6	6/6	obj(Overrun t=static e=trample v=0) | obj(Overgrowth t=attacks e=create_token v=1) | obj(Keen Eye t=static e=vigilance v=0)
345	Lich Lord	Champion	Lantern	Mythic	7	4/6	obj(Undead Recall t=enter_battlefield e=return_from_graveyard v=2) | obj(Soul Tap t=paid_mana e=drain_life v=1) | obj(Deathshroud t=static e=deathtouch v=0) | obj(Siphon t=static e=lifelink v=0) | Recall 2
346	Plague Sovereign	Champion	Lantern	Mythic	6	5/5	obj(Plagueburst t=dies e=destroy_all_enemies v=0) | obj(Pestilence Aura t=end_of_turn e=drain_all_opponents v=2) | obj(Deathshroud t=static e=deathtouch v=0)
347	Leviathan of the Deep	Champion	Gilded	Mythic	7	6/6	obj(Tidal Surge t=enter_battlefield e=bounce_enemies v=2) | obj(Flying t=static e=flying v=0) | obj(Intimidate t=static e=menace v=0)
348	Tidal Sovereign	Champion	Gilded	Mythic	6	4/5	obj(Riptide Command t=attacks e=tap_enemy_champion v=1) | obj(Dismissal Wave t=paid_mana e=bounce_champion v=1) | obj(Flying t=static e=flying v=0) | obj(Intimidate t=static e=menace v=0)
349	Magma Vent	Spell	Crimson	Uncommon	3	null/null	obj(Magma Vent t=on_cast e=ramp_search_land v=1)
350	Obsidian Forge	Relic	Crimson	Uncommon	4	null/null	obj(Obsidian Forge t=static e=double_fire_damage v=1)
351	Grave Tithe	Spell	Lantern	Uncommon	2	null/null	obj(Grave Tithe t=on_cast e=ramp_search_land v=1)
352	Tidal Pool	Spell	Gilded	Uncommon	2	null/null	obj(Tidal Pool t=on_cast e=ramp_search_land v=1)
353	Merfolk Cartographer	Champion	Gilded	Uncommon	2	1/2	obj(Chart Depths t=enter_battlefield e=ramp_search_land v=1)
